title,appid,avg_playtime,total_reviews,negative,owners,genre,developer,released,metascore,genres,tags,platforms,multiplayer,main_genre_Shooter,main_genre_Sports,main_genre_Strategy,cluster,PC1,PC2
Dota 2,570,44052,2010666,455645,"200,000,000 .. 500,000,000",,Valve,2013-07-09,90.0,"['Action', 'Massively Multiplayer']","['Multiplayer', 'steam-trading-cards', 'RPG', 'Co-op', 'cooperative', 'Online Co-Op', 'Fantasy', 'Difficult', 'Free to Play', 'Action RPG', 'Steam Workshop', 'PvP', 'In-App Purchases', 'Character Customization', 'Replay Value', 'Team-Based', 'RTS', 'Competitive', 'Valve Anti-Cheat enabled', 'Tower Defense', 'MOBA', 'e-sports', 'SteamVR Collectibles']","['Linux', 'macOS', 'PC']",0,False,False,False,0,2.3348071778386363,1.1866262148218312
Counter-Strike: Global Offensive,730,30245,7555742,1150303,"100,000,000 .. 200,000,000",,Valve,2012-08-21,81.0,['Shooter'],"['Steam Achievements', 'Multiplayer', 'Full controller support', 'steam-trading-cards', 'Co-op', 'cooperative', 'First-Person', 'FPS', 'Online Co-Op', 'Tactical', 'stats', 'Steam Workshop', 'PvP', 'Moddable', 'War', 'In-App Purchases', 'Realistic', 'Team-Based', 'Fast-Paced', 'Military', 'Competitive', 'Valve Anti-Cheat enabled', 'e-sports', 'Trading']","['PC', 'Linux', 'Xbox 360', 'PlayStation 3']",0,True,False,False,2,5.214678784772352,-0.9772799301552798
Apex Legends,1172470,10164,662951,324149,"50,000,000 .. 100,000,000",,Respawn,2019-02-04,80.0,"['Action', 'Shooter']","['Multiplayer', 'Full controller support', 'Atmospheric', 'Co-op', 'First-Person', 'Sci-fi', 'FPS', 'Online Co-Op', 'Exploration', 'Survival', 'Free to Play', 'Action-Adventure', 'Tactical', 'Dark', 'PvP', 'Character Customization', 'Cinematic', 'combat', 'Team-Based', 'Cyberpunk', 'Battle Royale', 'Hero Shooter', 'lootboxes']","['PlayStation 4', 'Nintendo Switch', 'macOS', 'PC', 'Xbox One']",0,False,False,False,0,-0.23307836845951055,-0.04592523535064103
Left 4 Dead 2,550,2433,929269,23463,"50,000,000 .. 100,000,000",,Valve,2009-11-17,89.0,"['Action', 'Shooter']","['Singleplayer', 'Steam Achievements', 'Multiplayer', 'Full controller support', 'Steam Cloud', 'steam-trading-cards', 'Co-op', 'cooperative', 'First-Person', 'Horror', 'FPS', 'Online Co-Op', 'Gore', 'Survival', 'Local Co-Op', 'Tactical', 'stats', 'Steam Workshop', 'Zombies', 'Moddable', 'Survival Horror', 'Post-apocalyptic', 'Captions available', 'Replay Value', 'Team-Based', 'Valve Anti-Cheat enabled', 'Commentary available', 'Includes Source SDK']","['Xbox 360', 'Linux', 'PC', 'macOS']",0,False,False,False,0,-0.45662842605287285,-0.15177286858416525
Terraria,105600,7589,1359264,34990,"20,000,000 .. 50,000,000",,Re-Logic,2011-05-16,81.0,"['Action', 'Indie', 'Platformer']","['Singleplayer', 'Steam Achievements', 'Multiplayer', 'Full controller support', 'Steam Cloud', 'Atmospheric', 'steam-trading-cards', 'RPG', 'Co-op', 'Open World', '2D', 'Online Co-Op', 'Exploration', 'Sandbox', 'Survival', 'Online multiplayer', 'Pixel Graphics', 'role-playing', 'Family Friendly', 'controller support', 'Replay Value', 'Crafting', 'Building', 'overlay']","['Xbox 360', 'Wii U', 'Nintendo 3DS', 'Xbox One', 'PlayStation 4', 'iOS', 'PC', 'macOS', 'Linux', 'Nintendo Switch', 'PlayStation 3', 'PS Vita', 'Android']",0,False,False,False,0,-0.06448754179606105,-0.16600780870365175
Team Fortress 2,440,10508,1031715,119352,"20,000,000 .. 50,000,000",,Valve,2007-10-10,92.0,"['Action', 'Shooter']","['Steam Achievements', 'Multiplayer', 'steam-trading-cards', 'Co-op', 'cooperative', 'First-Person', 'Partial Controller Support', 'FPS', 'Online Co-Op', 'Funny', 'Comedy', 'Free to Play', 'Tactical', 'stats', 'Steam Workshop', 'Cross-Platform Multiplayer', 'Includes level editor', 'Moddable', 'In-App Purchases', 'Captions available', 'Crafting', 'Team-Based', 'Competitive', 'Valve Anti-Cheat enabled', 'Robots', 'Commentary available', 'Cartoony', 'Cartoon', 'Class-Based', 'Trading']","['PC', 'macOS', 'Linux']",0,False,False,False,0,0.06675323323725661,0.1704810964410417
Destiny 2,1085660,12177,496229,126468,"20,000,000 .. 50,000,000",,Bungie,2017-09-06,82.0,"['Action', 'Shooter']","['Singleplayer', 'Multiplayer', 'Full controller support', 'Atmospheric', 'Great Soundtrack', 'Co-op', 'Open World', 'cooperative', 'First-Person', 'Sci-fi', 'FPS', 'Online Co-Op', 'Exploration', 'Free to Play', 'Online multiplayer', 'Action-Adventure', 'PvP', 'Space', 'combat', 'Futuristic', 'Aliens', 'Story', '3rd-Person Perspective', 'online', 'MMORPG', 'PvE', 'Loot', 'Lore-Rich', 'city', 'friends', 'console', 'Masterpiece', 'weapons', 'skill', 'destroy', 'collect', 'hunt', 'gun', 'rain', 'enemy', 'quick', 'darkness', 'defender']","['PlayStation 4', 'Xbox One', 'PC', 'Web', 'Xbox Series S/X', 'PlayStation 5']",0,False,False,False,0,-0.17326073403620035,0.07327803120638415
Cyberpunk 2077,1091500,4727,700024,131952,"20,000,000 .. 50,000,000",,CD PROJEKT RED,2020-12-10,73.0,"['Action', 'Shooter', 'RPG']","['Singleplayer', 'Atmospheric', 'Great Soundtrack', 'RPG', 'Story Rich', 'Open World', 'First-Person', 'Sci-fi', 'FPS', 'Exploration', 'Sandbox', 'Violent', 'Action-Adventure', 'Action RPG', 'role-playing', 'Nudity', 'Mature', 'Cinematic', 'Futuristic', 'Sexual Content', 'Cyberpunk', 'Crime', 'Robots', '3rd-Person Perspective', 'Blood', 'America', 'Masterpiece', 'Soundtrack', 'Hacking', 'Role Playing Game', 'immersive', 'Photorealistic']","['PlayStation 4', 'PC', 'Xbox Series S/X', 'PlayStation 5', 'Xbox One']",0,False,False,False,0,-0.5897491311106404,-0.3675534657365857
PAYDAY 2,218620,5272,593855,68743,"20,000,000 .. 50,000,000",,OVERKILL - a Starbreeze Studio.,2013-08-13,79.0,"['Action', 'Shooter']","['Singleplayer', 'Steam Achievements', 'Multiplayer', 'Full controller support', 'steam-trading-cards', 'Great Soundtrack', 'Co-op', 'cooperative', 'First-Person', 'FPS', 'Online Co-Op', 'Funny', 'Stealth', 'Tactical', 'In-App Purchases', 'Team-Based', 'Crime', 'PvE', 'Heist', 'Gun Customization']","['Linux', 'PC', 'Xbox One']",0,False,False,False,0,-0.5449581967863,-0.22476200755186565
Don't Starve Together,322330,2938,470708,23066,"20,000,000 .. 50,000,000",,Klei Entertainment,2016-04-21,83.0,"['Action', 'Simulation', 'Indie']","['Singleplayer', 'Multiplayer', 'Full controller support', 'Atmospheric', 'steam-trading-cards', 'Co-op', 'Open World', 'cooperative', '2D', 'Horror', 'Online Co-Op', 'Funny', 'Difficult', 'Sandbox', 'Survival', 'Local Co-Op', 'Steam Workshop', 'Cross-Platform Multiplayer', 'Survival Horror', 'Crafting', 'Roguelike']","['Linux', 'Xbox One', 'PlayStation 4', 'macOS', 'PC']",0,False,False,False,0,-0.6876829211466756,-0.21639580189941449
